PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1024.0,37,7.0,7.0,100,6.17,280,4,278.3,295.2,279.3
1000.0,230,6.0,6.0,100,5.90,310,4,279.1,295.4,280.1
925.0,866,2.8,2.8,100,5.09,320,4,282.2,296.5,283.0
901.0,1079,1.8,1.7,99,4.83,316,10,283.3,296.9,284.1
896.0,1124,2.0,1.5,96,4.78,315,11,283.9,297.5,284.7
895.0,1133,2.5,1.6,94,4.81,315,12,284.5,298.2,285.3
889.0,1187,5.4,2.0,79,5.00,314,12,288.1,302.5,288.9
868.0,1383,6.4,-0.6,61,4.24,309,15,291.1,303.6,291.8
850.0,1555,6.2,-0.8,61,4.26,305,17,292.6,305.3,293.4
807.0,1978,4.9,-4.0,53,3.55,295,19,295.6,306.4,296.3
760.0,2468,3.4,-7.6,44,2.85,310,25,299.1,308.0,299.6
743.0,2651,2.9,-15.0,25,1.61,315,27,300.5,305.8,300.8
738.0,2706,2.8,-17.2,21,1.35,314,27,301.0,305.4,301.2
728.0,2816,2.2,-19.8,18,1.10,313,27,301.5,305.1,301.7
700.0,3131,0.2,-11.8,40,2.22,310,25,302.7,309.8,303.1
677.0,3398,-1.9,-11.9,46,2.28,307,24,303.2,310.6,303.6
622.0,4060,-6.5,-15.7,48,1.81,300,19,305.3,311.3,305.7
550.0,5020,-13.3,-21.3,51,1.28,303,18,308.2,312.6,308.5
524.0,5387,-16.3,-24.3,50,1.03,304,18,308.9,312.5,309.1
512.0,5562,-16.9,-34.9,19,0.39,305,18,310.3,311.7,310.3
506.0,5650,-17.6,-35.1,20,0.38,305,17,310.5,311.9,310.5
500.0,5740,-18.3,-35.3,21,0.38,305,17,310.7,312.1,310.7
471.0,6182,-21.5,-39.5,18,0.26,302,22,312.1,313.0,312.1
452.0,6484,-23.7,-37.7,26,0.33,301,26,313.0,314.2,313.0
445.0,6596,-24.8,-37.9,29,0.33,300,27,313.1,314.3,313.1
400.0,7360,-31.9,-38.9,50,0.33,315,23,313.4,314.7,313.5
391.0,7520,-33.3,-39.3,55,0.33,321,22,313.7,314.9,313.7
377.0,7774,-35.5,-40.9,58,0.29,330,19,314.1,315.2,314.1
368.0,7942,-36.9,-41.9,60,0.26,326,22,314.4,315.4,314.4
340.0,8482,-41.1,-47.6,49,0.15,315,29,315.9,316.4,315.9
331.0,8666,-42.5,-49.5,46,0.13,315,28,316.3,316.8,316.4
312.0,9061,-46.3,-49.4,71,0.14,315,25,316.4,317.0,316.4
311.0,9082,-46.5,-49.7,69,0.13,315,25,316.5,317.0,316.5
300.0,9320,-48.3,-53.3,56,0.09,305,23,317.2,317.5,317.2
296.0,9408,-48.9,-56.9,39,0.06,301,26,317.5,317.8,317.6
292.0,9498,-48.7,-65.7,12,0.02,296,28,319.1,319.1,319.1
291.0,9520,-48.9,-65.7,12,0.02,295,29,319.1,319.2,319.1
268.0,10051,-53.1,-65.7,20,0.02,300,16,320.5,320.6,320.5
250.0,10500,-56.7,-65.7,31,0.02,300,21,321.6,321.7,321.6
201.0,11849,-68.2,-74.3,41,0.01,315,17,324.1,324.1,324.1
200.0,11880,-68.5,-74.5,42,0.01,315,17,324.1,324.2,324.1
191.0,12155,-70.4,-75.7,46,0.01,305,14,325.3,325.4,325.3
187.0,12281,-71.3,-76.2,48,0.01,305,17,325.9,325.9,325.9
184.0,12378,-70.7,-77.0,39,0.01,300,19,328.3,328.4,328.3
176.0,12644,-69.1,-79.2,22,0.00,350,21,335.1,335.2,335.1
170.0,12851,-67.9,-80.9,14,0.00,320,26,340.5,340.6,340.5
169.0,12887,-67.2,-82.1,11,0.00,315,27,342.2,342.2,342.2
164.0,13070,-64.0,-88.1,2,0.00,305,31,350.6,350.6,350.6
163.0,13107,-63.3,-89.3,2,0.00,307,32,352.4,352.4,352.4
156.0,13378,-63.1,-88.0,2,0.00,325,35,357.2,357.2,357.2
150.0,13620,-62.9,-86.9,3,0.00,335,29,361.5,361.5,361.5
144.0,13872,-62.0,-87.2,2,0.00,335,37,367.4,367.4,367.4
137.0,14180,-60.9,-87.6,2,0.00,355,27,374.6,374.6,374.6
136.0,14225,-60.7,-87.7,2,0.00,350,25,375.7,375.7,375.7
134.0,14317,-60.8,-87.8,2,0.00,340,21,377.2,377.2,377.2
126.0,14699,-61.0,-88.2,2,0.00,320,27,383.4,383.4,383.4
120.0,15001,-61.2,-88.6,2,0.00,310,35,388.5,388.5,388.5
116.0,15211,-61.3,-88.8,2,0.00,330,41,392.0,392.0,392.0
114.0,15318,-61.4,-89.0,1,0.00,340,37,393.8,393.8,393.8
111.0,15484,-61.5,-89.2,1,0.00,340,27,396.6,396.6,396.6
109.0,15596,-61.6,-89.3,1,0.00,330,25,398.6,398.6,398.6
106.0,15769,-61.7,-89.5,1,0.00,315,27,401.6,401.6,401.6
100.0,16130,-61.9,-89.9,1,0.00,325,37,407.9,407.9,407.9
95.0,16446,-62.0,-90.3,1,0.00,340,27,413.7,413.7,413.7
92.0,16644,-62.0,-90.5,1,0.00,330,25,417.4,417.4,417.4
91.0,16712,-62.1,-90.6,1,0.00,320,27,418.7,418.7,418.7
81.0,17430,-62.2,-91.4,1,0.00,305,35,432.4,432.4,432.4
78.0,17663,-62.3,-91.7,1,0.00,325,31,437.0,437.0,437.0
71.0,18243,-62.5,-92.4,1,0.00,320,29,448.6,448.6,448.6
70.0,18330,-62.5,-92.5,1,0.00,320,33,450.3,450.3,450.3
67.0,18599,-62.6,-92.6,1,0.00,335,33,455.7,455.7,455.7
63.0,18978,-62.8,-92.8,1,0.00,325,29,463.4,463.4,463.4
61.0,19177,-62.9,-92.9,1,0.00,300,27,467.5,467.5,467.5
54.0,19927,-63.3,-93.3,1,0.00,320,33,483.2,483.2,483.2
51.0,20278,-63.4,-93.4,1,0.00,300,37,490.8,490.8,490.8
50.0,20400,-63.5,-93.5,1,0.00,305,39,493.4,493.4,493.4
48.0,20650,-63.8,-93.7,1,0.00,330,33,498.4,498.4,498.4
44.0,21183,-64.5,-94.0,1,0.00,315,33,509.3,509.3,509.3
41.0,21616,-65.1,-94.2,1,0.00,335,35,518.2,518.2,518.2
40.0,21767,-65.3,-94.3,1,0.00,328,37,521.4,521.4,521.4
39.0,21922,-64.9,-94.1,1,0.00,320,39,526.1,526.1,526.1
37.0,22245,-64.2,-93.7,1,0.00,335,39,536.0,536.0,536.0
34.8,22621,-63.3,-93.3,1,0.00,326,37,547.8,547.8,547.8
31.0,23329,-65.0,-94.2,1,0.00,310,33,561.5,561.6,561.5
30.0,23530,-65.5,-94.5,1,0.00,320,41,565.5,565.5,565.5
28.6,23820,-66.7,-95.7,1,0.00,317,39,570.0,570.0,570.0
28.1,23926,-66.3,-95.3,1,0.00,315,39,574.0,574.0,574.0
28.0,,,,,,315,39,,,
