PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1020.0,10,19.0,15.0,78,10.62,350,6,290.5,320.6,292.4
1017.0,34,17.2,12.6,74,9.09,350,6,288.9,314.7,290.5
1000.0,172,15.8,12.8,82,9.37,350,9,288.9,315.4,290.6
994.0,223,15.2,12.6,84,9.30,357,8,288.9,315.1,290.5
925.0,829,11.2,7.0,75,6.84,75,2,290.8,310.5,291.9
905.0,1011,9.8,3.8,66,5.58,76,3,291.1,307.4,292.1
869.0,1348,7.2,4.9,85,6.29,79,3,291.8,310.1,292.9
850.0,1530,6.4,3.8,83,5.95,80,4,292.8,310.2,293.9
803.0,1990,3.9,0.6,79,5.00,0,0,295.0,309.9,295.9
700.0,3099,-2.1,-7.1,69,3.22,325,4,300.1,310.1,300.7
647.0,3721,-5.5,-10.0,71,2.78,290,4,303.1,311.9,303.6
527.0,5296,-16.5,-19.3,79,1.58,198,3,308.2,313.5,308.5
500.0,5690,-18.7,-24.7,59,1.04,175,3,310.2,313.8,310.4
486.0,5902,-20.1,-27.1,54,0.86,180,4,311.0,314.0,311.1
430.0,6800,-26.9,-42.0,23,0.22,200,10,313.4,314.2,313.4
424.0,6903,-27.7,-43.7,20,0.19,202,11,313.6,314.4,313.7
415.0,7056,-29.0,-44.3,22,0.18,205,12,313.9,314.6,313.9
400.0,7320,-31.3,-45.3,24,0.17,185,8,314.2,314.9,314.3
392.0,7463,-32.7,-42.7,36,0.23,186,8,314.2,315.1,314.3
