PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
991.0,32,14.4,13.6,95,9.97,40,23,288.3,316.3,290.0
987.0,66,14.3,13.4,95,9.90,130,25,288.5,316.4,290.2
985.0,83,14.2,13.4,94,9.87,140,25,288.6,316.4,290.3
929.0,577,12.6,11.0,90,8.95,168,43,291.8,317.5,293.4
925.0,613,12.0,11.0,94,8.98,170,44,291.6,317.3,293.1
901.0,833,10.2,10.1,99,8.68,176,48,291.9,316.8,293.4
863.0,1192,8.0,8.0,100,7.86,185,54,293.2,316.0,294.6
851.0,1307,7.2,2.7,73,5.49,180,52,293.6,309.8,294.6
850.0,1317,7.2,2.7,73,5.50,180,52,293.7,309.9,294.6
790.0,1916,2.8,2.5,98,5.83,185,45,295.2,312.4,296.2
787.0,1947,3.2,3.1,99,6.11,185,45,295.9,314.0,297.0
738.0,2463,-0.0,-1.2,92,4.76,190,39,297.9,312.2,298.7
720.0,2662,-1.3,-2.9,89,4.31,185,34,298.6,311.7,299.4
700.0,2888,-2.7,-4.8,85,3.84,185,42,299.5,311.3,300.2
691.0,2990,-3.5,-7.6,73,3.14,185,41,299.7,309.4,300.2
677.0,3150,-4.3,-8.1,75,3.08,185,39,300.5,310.1,301.1
668.0,3255,-4.9,-8.5,76,3.04,170,37,301.0,310.5,301.6
645.0,3529,-6.4,-9.3,79,2.93,185,42,302.4,311.7,302.9
622.0,3813,-7.9,-10.3,83,2.83,180,45,303.8,312.8,304.4
595.0,4159,-9.7,-11.4,87,2.70,182,39,305.6,314.2,306.1
565.0,4552,-12.3,-14.3,85,2.26,185,32,307.1,314.4,307.5
500.0,5480,-18.5,-21.0,81,1.44,185,37,310.4,315.3,310.7
489.0,5646,-19.7,-21.8,83,1.37,180,41,311.0,315.6,311.2
485.0,5707,-20.1,-22.1,84,1.35,182,41,311.2,315.8,311.4
462.0,6064,-22.8,-25.3,80,1.07,195,42,312.1,315.9,312.4
426.0,6659,-27.3,-30.6,73,0.71,195,45,313.7,316.2,313.9
405.0,7021,-30.4,-33.8,72,0.55,195,47,314.3,316.3,314.4
400.0,7110,-31.1,-34.6,71,0.51,195,45,314.5,316.4,314.6
388.0,7325,-32.9,-37.0,67,0.41,195,34,314.9,316.4,315.0
381.0,7448,-34.0,-38.1,66,0.38,195,28,315.1,316.4,315.1
343.0,8161,-40.5,-44.8,63,0.21,200,44,315.9,316.7,315.9
311.0,8826,-46.5,-50.9,60,0.11,215,37,316.4,316.9,316.5
